platform_action,group,mode,end_user_allowed
Updated BlockquoteElement Element,,Champion.Others,FALSE
Updated CohortConnectElement Element,,,FALSE
Updated ContentNode Node,,Champion.Others,FALSE
Updated CreateSpaceElement Element,,Champion.Others,FALSE
Updated DisplayChildrenElement Element,,Champion.Others,FALSE
Updated Element,,Champion.Others,FALSE
Updated EparachuteElement Element,,Champion.Others,FALSE
Updated FormElement Element,,Champion.Others,FALSE
Updated HeaderElement Element,,Champion.Others,FALSE
Updated HorizontalRuleElement Element,,Champion.Others,FALSE
Updated ImageElement Element,,Champion.Others,FALSE
Updated IntervalSinceStartPrerequisite Prerequisite,,Champion.Others,FALSE
Updated JoinGroupSpaceElement Element,,Champion.Others,FALSE
Updated ListElement Element,,Champion.Others,FALSE
Updated MomentElement Element,,Champion.Others,FALSE
Updated Node,,Champion.Others,FALSE
Updated ParagraphElement Element,,Champion.Others,FALSE
Updated PlatformLinkElement Element,,Champion.Others,FALSE
Updated Prerequisite,,Champion.Others,FALSE
Updated Program,,Champion.Others,FALSE
Updated QuestionElement Element,,Champion.Others,FALSE
Updated ReferenceNode Node,,,FALSE
Updated ResultElement Element,,Champion.Others,FALSE
Updated ToDoListElement Element,,Champion.Others,FALSE
Updated UnlockDatePrerequisite Prerequisite,,Champion.Others,FALSE
Updated UserImageElement Element,,Champion.Others,FALSE
Updated UserNoteElement Element,,Champion.Others,FALSE
Updated VideoElement Element,,Champion.Others,FALSE
Updated WebLinkElement Element,,Champion.Others,FALSE
User Added Page,,,FALSE
User Onboarded,User Onboarded,Receive.Value,TRUE
User Removed Page,,,FALSE
